params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",32.57185440324247,0.07902081646000658,0.21756581543013453,0.12805892606029887,0.6814499475807733,0.6870413317660514,0.6853575626648029,0.685008101153223,0.6847142357912126,0.0020353856829970333,8,0.8,10,1.0,300,8,0.05,1.0
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",41.969933064247016,0.3345083018142103,0.7107845224963967,0.13039774024212247,0.6743654096641992,0.6789084093147377,0.6774787940400928,0.6789401785430632,0.6774231978905232,0.0018614673676760065,45,0.8,1,0.5,300,8,0.1,0.8
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",21.41117061256955,8.927158093049794,0.7991278795379912,0.19538415191787198,0.6811004860691934,0.685008101153223,0.6834196397369507,0.6853575626648029,0.6837214474060425,0.001680243821850161,16,0.8,1,1.0,200,4,0.05,1.0
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",18.087963290556218,9.408267511428525,0.4053046876215376,0.27053242682935214,0.6817041014073768,0.6855481780347555,0.6831337166820218,0.6844997935000159,0.6837214474060425,0.0014454998888077017,16,0.8,10,1.0,100,6,0.1,1.0
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",16.650226979254512,7.69659541376191,0.6422173949831631,0.2057198008533368,0.6801156399911046,0.684436255043365,0.6844997935000159,0.6856117164914064,0.683665851256473,0.0021023423366387166,18,0.7,1,0.5,100,4,0.1,0.8
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",21.03270869028347,9.27634759319995,0.1794494227069663,0.07506389029308003,0.6752549480573117,0.6802427169044064,0.6812593322108206,0.6806239476443117,0.6793452362042126,0.002389288346006578,44,0.7,10,1.0,200,8,0.01,0.6
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",30.857333450039732,9.145440314090074,0.2014721342420671,0.11082920563704621,0.6801156399911046,0.6843409473583887,0.6837691012485306,0.6844680242716904,0.6831734282174285,0.0017849352288841229,26,0.9,1,0.5,300,8,0.05,0.6
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",25.586334875493776,9.455772086193273,0.18872441748681013,0.08919628827017649,0.6819582552339803,0.6858341010896846,0.6842456396734123,0.6853257934364775,0.6843409473583887,0.0014904475147873172,10,0.9,1,0.1,200,6,0.05,0.8
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",33.16978355780884,8.028293718845582,0.3538117739808513,0.2310529441707744,0.677351717126791,0.6798932553928265,0.6825301013438384,0.6831654859103472,0.6807351399434508,0.002306771959934765,35,0.8,10,0.5,300,6,0.01,0.8
"{'subsample': 0.9, 'reg_lambda': 20, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",18.20773441149504,7.781219408948842,0.1190485702973092,0.05437169706727089,0.6832607935953235,0.6865330241128443,0.6839914858468088,0.6867554087111224,0.6851351780665248,0.0015330092914121244,5,0.9,20,0,200,8,0.05,0.8
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",26.512107747767004,1.9580143013584443,0.6500517032691278,0.2614562707340407,0.6794167169679448,0.6847539473266194,0.6825936398004893,0.6829113320837437,0.6824189090446993,0.0019195424148843745,30,0.7,5,0.1,100,8,0.05,0.6
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",16.98494011198636,7.936826106508873,0.37643124275200535,0.16643190215808942,0.6710296406900277,0.672205102138069,0.6748101788607554,0.6768751787019094,0.6737300250976904,0.0022735538990709845,50,0.7,10,0.5,200,4,0.01,0.8
"{'subsample': 0.7, 'reg_lambda': 20, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",33.18601689414936,10.862664777538555,0.08720220050599892,0.050169393824871435,0.6763986402770277,0.679639101566223,0.6815134860374241,0.6821171013756075,0.6799170823140706,0.0022274029935817406,41,0.7,20,1.0,500,4,0.01,0.6
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",17.80200882119243,9.192915648779776,0.15016882924828678,0.0363777538444023,0.6804333322743591,0.6846586396416431,0.6820535629189567,0.6846586396416431,0.6829510436191505,0.0018011184285726969,28,0.8,20,1.0,100,8,0.05,0.8
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",31.503447682218393,8.57915725536168,0.25353166018612683,0.12884087800039729,0.684150331988436,0.6859929472313118,0.6852622549798265,0.6891063316072052,0.6861279664516949,0.001840474369029958,1,0.9,5,0.5,300,4,0.1,0.8
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",15.099043990005157,6.780938333539252,0.6176746110140812,0.48586076388051735,0.6833878705086254,0.6872637163643295,0.6847857165549449,0.6859294087746609,0.6853416780506402,0.0014288208231945322,4,0.9,1,0,200,4,0.1,1.0
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",30.01767395528441,12.87447295564946,0.1567740297614364,0.11753606846835715,0.677351717126791,0.6805921784159863,0.6817994090923531,0.6833561012802999,0.6807748514788575,0.002205889111051077,34,0.7,5,0.5,500,4,0.01,0.8
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",35.753661878581624,2.4974957106403104,0.3881437765521696,0.2897221925215584,0.6824983321155129,0.6881532547574419,0.6853893318931283,0.6864059471995425,0.6856117164914064,0.0020513919882044875,3,0.8,10,0.1,300,4,0.1,0.6
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",24.842607884827885,11.215915093553782,0.08304247325577307,0.025904913755592295,0.6783683324332052,0.6821806398322585,0.6845315627283414,0.6818947167773295,0.6817438129427836,0.002201079691655343,33,0.8,5,1.0,500,6,0.1,0.6
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",28.365911554719787,7.341823072522713,0.31082237596274354,0.15735227149196981,0.6817041014073768,0.6837055627918798,0.6869777933094006,0.6820535629189567,0.6836102551069034,0.002086031495107793,19,0.8,20,0.5,300,6,0.1,0.8
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",26.24608859073487,9.377866882500648,0.18249142599233892,0.06500719100246964,0.6744289481208502,0.6762715633637258,0.678209486291578,0.6788448708580869,0.6769387171585602,0.0017314958074060997,47,0.8,5,0,300,4,0.01,1.0
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",29.810387164805434,6.7409143163514,0.2601523814955726,0.10255689221117266,0.6769704863868856,0.6801156399911046,0.6819582552339803,0.6824983321155129,0.6803856784318709,0.0021605995029829817,38,0.9,1,0,200,8,0.01,1.0
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",25.425766403670423,9.722132279876542,0.4999953701335471,0.36932371871925745,0.6809098706992407,0.6837373320202053,0.6830701782253709,0.68551640880643,0.6833084474378117,0.001648406653312301,24,0.8,20,0.1,200,4,0.05,0.6
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",19.743097515005502,7.499293026241305,0.7027401789964642,0.37405405719923673,0.6800521015344537,0.6831019474536963,0.6846586396416431,0.6854846395781047,0.6833243320519744,0.00207390048101684,23,0.9,10,0,100,4,0.1,0.8
"{'subsample': 0.9, 'reg_lambda': 20, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",32.15079900278943,7.240201591400329,0.4782566982175922,0.23711231569921365,0.6814817168090987,0.6859611780029863,0.6851034088381993,0.686437716427868,0.6847460050195381,0.0019443410117044053,7,0.9,20,0.5,300,4,0.05,0.8
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",20.955971876494004,5.716082054410095,0.553512753744144,0.09765606189903327,0.6769704863868856,0.6799885630778029,0.6813228706674714,0.6814181783524478,0.679925024621152,0.0017969985355940664,40,0.7,1,0.5,100,4,0.05,0.6
"{'subsample': 0.9, 'reg_lambda': 20, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",21.08522706075746,10.33957280532953,0.31489629205316305,0.33377341418626144,0.6808781014709153,0.6838961781618325,0.6826254090288147,0.686374177971217,0.6834434666581949,0.002002768916705989,22,0.9,20,0,200,4,0.05,0.8
"{'subsample': 0.7, 'reg_lambda': 20, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",32.55084243853344,9.491065677888285,0.2645886182435788,0.1872367400586826,0.6763668710487022,0.679639101566223,0.6812275629824952,0.682784255170442,0.6800044476919656,0.002376382874166691,39,0.7,20,1.0,300,6,0.01,0.8
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",30.13430501698167,1.1123358997733268,0.3137341387773631,0.09868139857968425,0.6740794866092703,0.6765892556469804,0.6790672554563649,0.6795437938812466,0.6773199478984655,0.002181345639174204,46,0.8,1,0,200,6,0.01,0.6
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",20.590898322028806,7.068851094111551,0.1663356930221198,0.1220870159191697,0.677065794071862,0.6800521015344537,0.6828477936270928,0.6829748705403945,0.6807351399434508,0.002419211613697907,35,0.8,1,0.5,300,6,0.01,0.8
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",31.321494679286843,9.541631912672738,0.21331221608852502,0.24370312001965438,0.6816087937224005,0.6858658703180099,0.6834514089652762,0.6858658703180099,0.6841979858309242,0.0017905983717520844,11,0.8,5,1.0,300,8,0.05,0.8
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",27.910542498531868,7.7902336307508415,0.26370142347877845,0.23559756156470263,0.6817041014073768,0.6875496394192585,0.6863106395145662,0.6871048702227023,0.6856673126409759,0.002330806654863733,2,0.9,10,0.1,300,6,0.05,0.8
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",13.639523170742905,8.853374787707075,0.5183391385071445,0.23400714453738242,0.6806874861009626,0.6856752549480574,0.6848810242399213,0.6839914858468088,0.6838088127839375,0.001897978758317444,14,0.8,10,0.1,100,6,0.1,0.6
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",20.697756288238452,9.838664792890317,0.19419585101422854,0.1622133593198259,0.6828160243987673,0.6854528703497792,0.6861200241446135,0.6835467166502526,0.6844839088858532,0.00134869635271006,9,0.9,1,1.0,300,6,0.1,0.6
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",27.473152880571433,9.844790409247953,0.15784212485596072,0.03810241300883148,0.6807510245576135,0.6836102551069034,0.6869777933094006,0.6838326397051816,0.6837929281697748,0.002204058188729747,15,0.7,1,0.1,200,6,0.05,0.8
