params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",28.122881511226296,12.80680785423869,0.30042354273609817,0.2225850638983311,-0.5852539058656869,-0.5857274884440318,-0.5848711290858971,-0.5845132099988746,-0.5850914333486226,0.0004510652983676652,11,0.8,10,1.0,300,8,0.05,1.0
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",42.89077670627739,1.601162666693703,0.14849349670112133,0.018737402253868204,-0.5996448392892472,-0.6004972144998569,-0.59917279932589,-0.5974878676956152,-0.5992006802026524,0.001096902742450798,47,0.8,1,0.5,300,8,0.1,0.8
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",17.828863694448955,8.774862089425078,0.2603037488879636,0.1091762585341216,-0.586887030468584,-0.5876097986380209,-0.5851398837334153,-0.5849671714341819,-0.5861509710685504,0.0011284547500261901,18,0.8,1,1.0,200,4,0.05,1.0
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",25.053495489642955,1.276091723768655,0.38800315046682954,0.13967123658557273,-0.5859262037038134,-0.5868278624924778,-0.5845575435785599,-0.5838186660056809,-0.585282568945133,0.0011694947037458004,13,0.8,10,1.0,100,6,0.1,1.0
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",17.93496548337862,9.200328734102476,0.21897799067664891,0.08321854804222302,-0.5874743443684144,-0.5881751607148873,-0.5852710730248658,-0.5846260658143335,-0.5863866609806253,0.0014769917296766765,22,0.7,1,0.5,100,4,0.1,0.8
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",28.22750652418472,10.097428476849773,0.30809293151833117,0.1307321705720288,-0.5976266746414387,-0.5972266248394653,-0.5959368112782434,-0.5956204180690554,-0.5966026322070507,0.0008435182029527716,44,0.7,10,1.0,200,8,0.01,0.6
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",36.11237511096988,14.760288572446226,0.23027564969379455,0.13166862563215861,-0.5863686041765529,-0.5873532955129813,-0.5856406717478891,-0.5857644519611758,-0.5862817558496498,0.0006771875701271992,20,0.9,1,0.5,300,8,0.05,0.6
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",32.86170908564236,2.046555654854552,0.31123078567907214,0.14387743380126636,-0.5847827877670851,-0.5854563914157263,-0.5833138586237119,-0.583105709267093,-0.584164686768404,0.000986900656166512,4,0.9,1,0.1,200,6,0.05,0.8
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",24.007462531561032,8.835087495080552,0.20088769181165844,0.1986540081737639,-0.5926104869330379,-0.5932311381254788,-0.590861692640867,-0.5905479440103666,-0.5918128154274376,0.0011349508098902937,39,0.8,10,0.5,300,6,0.01,0.8
"{'subsample': 0.9, 'reg_lambda': 20, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",32.42215605603997,11.41469236398828,0.3115084901219234,0.202918197565044,-0.5847683119415513,-0.5860635685801289,-0.5836561714252545,-0.5831429569053559,-0.5844077522130727,0.0011220864505745035,8,0.9,20,0,200,8,0.05,0.8
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",18.237682265229523,9.588017052996497,0.23713936808053404,0.14464623665428467,-0.5879389902533684,-0.5877957755958465,-0.5863419657177318,-0.5861899166899753,-0.5870666620642305,0.0008041191232424071,28,0.7,5,0.1,100,8,0.05,0.6
"{'subsample': 0.7, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",28.344368498888798,9.756365498170883,0.16322004760149866,0.04591658447590566,-0.6023850591853721,-0.6024986081211026,-0.6004450750578961,-0.6002452765672077,-0.6013935047328947,0.0010514728360436917,48,0.7,10,0.5,200,4,0.01,0.8
"{'subsample': 0.7, 'reg_lambda': 20, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",24.67059950879775,12.082451302241312,0.06995194824412465,0.013208588369053682,-0.5923231695321078,-0.5929072525980431,-0.5901175346842302,-0.5897722858730328,-0.5912800606718536,0.0013565287662685355,36,0.7,20,1.0,500,4,0.01,0.6
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 1.0, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",18.514113146578893,8.473325955843722,0.364950381568633,0.2941570398337031,-0.5871180784605907,-0.587764389316825,-0.5854736219006282,-0.5855395310630525,-0.586473905185274,0.000994224591357014,23,0.8,20,1.0,100,8,0.05,0.8
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",37.52905370318331,1.4518594342842048,0.4791767899878323,0.09657006589027058,-0.5835334657650462,-0.5851800750116233,-0.5830759813154249,-0.5821481106281761,-0.5834844081800675,0.0010988853786036061,1,0.9,5,0.5,300,4,0.1,0.8
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",16.04875482292846,8.77331165548158,0.15320215618703514,0.1145046066845366,-0.5843038694883946,-0.5859940707251571,-0.5834841643203268,-0.5833307479317552,-0.5842782131164085,0.001057476873223805,5,0.9,1,0,200,4,0.1,1.0
"{'subsample': 0.7, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",28.45863799122162,12.344973401933794,0.12268251250497997,0.0853840347570416,-0.5913750846449177,-0.5920331547659253,-0.5894490029363535,-0.5890676755065593,-0.590481229463439,0.0012521057884802554,34,0.7,5,0.5,500,4,0.01,0.8
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",27.641011243802495,10.663394632447398,0.18367842445150018,0.11213169228138624,-0.5841512050180058,-0.5847190903763617,-0.5830363351953791,-0.5822341678581753,-0.5835351996119804,0.0009647032358191855,2,0.8,10,0.1,300,4,0.1,0.6
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 1.0, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",35.72499509388581,14.140223464000051,0.17839786456897855,0.13375298116040082,-0.5914721166225111,-0.5913543499848715,-0.5886931975631235,-0.5883012308215813,-0.5899552237480218,0.0014651724225668522,33,0.8,5,1.0,500,6,0.1,0.6
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",42.4075443665497,2.2123421346525864,0.2575196196557954,0.1567792766318905,-0.5856539129894368,-0.5869783475900509,-0.5849788781508817,-0.5853603623495911,-0.5857428752699902,0.0007523818633638912,16,0.8,20,0.5,300,6,0.1,0.8
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",36.716281143715605,1.7517901214269391,0.5094503212021664,0.28445766648562,-0.5961694916927252,-0.5967896302721841,-0.5943072146181694,-0.5940948435254746,-0.5953402950271383,0.0011625988492537066,42,0.8,5,0,300,4,0.01,1.0
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",24.28656619496178,11.020769428055546,0.3670303017133847,0.4035797270933104,-0.5951081618984768,-0.5953949867988279,-0.5935005669023594,-0.5933164085952098,-0.5943300310487185,0.0009293895331598972,41,0.9,1,0,200,8,0.01,1.0
"{'subsample': 0.8, 'reg_lambda': 20, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",25.257322185556404,9.664256255528034,0.27901602745987475,0.20494126460714535,-0.5877940003765012,-0.5884994185720807,-0.5856946121038398,-0.585266717884281,-0.5868136872341756,0.0013645647032534789,26,0.8,20,0.1,200,4,0.05,0.6
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",17.957486607134342,7.947664151046049,0.3274438336957246,0.19058478122447398,-0.5874603369572131,-0.5883107705307127,-0.5856655991481654,-0.5852668112712381,-0.5866758794768324,0.0012544303335669086,25,0.9,10,0,100,4,0.1,0.8
"{'subsample': 0.9, 'reg_lambda': 20, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",37.16031585435849,10.664843752379484,0.19875238207168877,0.061396042805913195,-0.5853151135234043,-0.5861720096960974,-0.5836092684418632,-0.5832066685369475,-0.5845757650495781,0.0012148224243600683,10,0.9,20,0.5,300,4,0.05,0.8
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",26.12675410672091,1.8245111725187655,0.23221833887510002,0.01835824316906858,-0.5920691943105465,-0.5922643107495051,-0.5897933106132117,-0.5893476071359207,-0.5908686057022959,0.0013094943444504049,35,0.7,1,0.5,100,4,0.05,0.6
"{'subsample': 0.9, 'reg_lambda': 20, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",23.94451605528593,10.462910010708372,0.30408058024477214,0.22970642308435735,-0.5874060714488121,-0.5882301086933194,-0.585357677478416,-0.5849114847790998,-0.5864763355999119,0.0013820530829236454,24,0.9,20,0,200,4,0.05,0.8
"{'subsample': 0.7, 'reg_lambda': 20, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",27.36898003402166,15.782691283538217,0.37405991356354207,0.16737322347269615,-0.5934375705642625,-0.5937206205545943,-0.591353260332936,-0.591271264149873,-0.5924456789004163,0.0011381952410763224,40,0.7,20,1.0,300,6,0.01,0.8
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",29.102221514447592,9.741314224530795,0.4363675384083763,0.3808501338137818,-0.5983898143775781,-0.5985285222838495,-0.5967902858161077,-0.5963381165634808,-0.5975116847602541,0.0009621264110430602,46,0.8,1,0,200,6,0.01,0.6
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",42.455660248640925,2.2163123968583878,0.36761962284799665,0.18200249424519946,-0.592140375898901,-0.5926455036021057,-0.5903842520518577,-0.5900588772285356,-0.59130725219535,0.0011062754240872541,37,0.8,1,0.5,300,6,0.01,0.8
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",39.021132258698344,10.846263781348418,0.1905396698275581,0.08741006563838885,-0.585204522651744,-0.5857905293272936,-0.5854771019958871,-0.5844203281565726,-0.5852231205328743,0.0005077599836953182,12,0.8,5,1.0,300,8,0.05,0.8
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",29.79103212058544,14.772279370384805,0.16966634429991245,0.11798388872679616,-0.5841755689497917,-0.5848539830265231,-0.5826495823931123,-0.5825049770139115,-0.5835460278458348,0.0009993085160019343,3,0.9,10,0.1,300,6,0.05,0.8
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",22.483985665254295,7.074427646366638,0.5778929853113368,0.3376165255108749,-0.5870533648603314,-0.5873515221350392,-0.5840307217376802,-0.5842373795789876,-0.5856682470780096,0.0015395484101271713,15,0.8,10,0.1,100,6,0.1,0.6
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",41.28917422040831,1.6007830914139054,0.2987912950338796,0.16477675293203553,-0.587131690222928,-0.5886748788204382,-0.5864075399127813,-0.5870871561843848,-0.5873253162851331,0.0008303378517055563,29,0.9,1,1.0,300,6,0.1,0.6
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",30.525486931554042,7.789832138746823,0.21601005410775542,0.040205085488979504,-0.5846872321271617,-0.5860614847377553,-0.5838156094216689,-0.5830263964310359,-0.5843976806794055,0.00112597862150982,7,0.7,1,0.1,200,6,0.05,0.8
